tweet_text,recipient,emotion,brand,lemmatized_review,emotion_code
"['user', '3g', 'iphone', '3', 'hr', 'tweeting', 'riseaustin', 'dead', 'need', 'upgrade', 'plugin', 'station', 'sxsw']",iPhone,Negative emotion,Apple,user 3g iphone 3 hr tweeting riseaustin dead need upgrade plugin station sxsw,1
"['user', 'know', 'user', 'awesome', 'ipadiphone', 'app', 'likely', 'appreciate', 'design', 'also', 'giving', 'free', 't', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,user know user awesome ipadiphone app likely appreciate design also giving free t sxsw,3
"['user', 'wait', 'ipad', '2', 'also', 'sale', 'sxsw']",iPad,Positive emotion,Apple,user wait ipad 2 also sale sxsw,3
"['user', 'hope', 'year', 'festival', 'crashy', 'year', 'iphone', 'app', 'sxsw']",iPad or iPhone App,Negative emotion,Apple,user hope year festival crashy year iphone app sxsw,1
"['user', 'great', 'stuff', 'fri', 'sxsw', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive emotion,Google,user great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,3
"['user', 'new', 'ipad', 'apps', 'speechtherapy', 'communication', 'showcased', 'sxsw', 'conference', 'iear', 'edchat', 'asd']",none,No emotion toward brand or product,none,user new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,2
"['sxsw', 'starting', 'ctia', 'around', 'corner', 'googleio', 'hop', 'skip', 'jump', 'good', 'time', 'android', 'fan']",Android,Positive emotion,Google,sxsw starting ctia around corner googleio hop skip jump good time android fan,3
"['beautifully', 'smart', 'simple', 'idea', 'rt', 'user', 'user', 'wrote', 'hollergram', 'ipad', 'app', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,beautifully smart simple idea rt user user wrote hollergram ipad app sxsw,3
"['counting', 'day', 'sxsw', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",Apple,Positive emotion,Apple,counting day sxsw plus strong canadian dollar mean stock apple gear,3
"['excited', 'meet', 'user', 'sxsw', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', '21', 'fail']",Android,Positive emotion,Google,excited meet user sxsw show sprint galaxy still running android 21 fail,3
"['find', 'amp', 'start', 'impromptu', 'party', 'sxsw', 'user', 'wait', 'til', 'android', 'app', 'come']",Android App,Positive emotion,Google,find amp start impromptu party sxsw user wait til android app come,3
"['foursquare', 'ups', 'game', 'time', 'sxsw', 'still', 'prefer', 'user', 'far', 'best', 'looking', 'android', 'app', 'date']",Android App,Positive emotion,Google,foursquare ups game time sxsw still prefer user far best looking android app date,3
"['got', 'love', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'user', 'via', 'user', 'gt']",Other Google product or service,Positive emotion,,got love sxsw google calendar featuring top party show case check rt user via user gt,3
"['great', 'sxsw', 'ipad', 'app', 'user']",iPad or iPhone App,Positive emotion,Apple,great sxsw ipad app user,3
"['haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,haha awesomely rad ipad app user hollergram sxsw,3
"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via', 'user', 'sxsw']",none,No emotion toward brand or product,none,holler gram ipad itunes app store via user sxsw,2
"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",iPhone,Negative emotion,Apple,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,1
"['added', 'sxsw', 'flight', 'user', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'user', 'iphone', 'app', 'nicely', 'done']",iPad or iPhone App,Positive emotion,Apple,added sxsw flight user matching people planesairports also downloaded user iphone app nicely done,3
"['must', 'sxsw', 'app', 'rt', 'user', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",iPad or iPhone App,Positive emotion,Apple,must sxsw app rt user lovely review forbes sxsw ipad app holler gram,3
"['need', 'buy', 'ipad2', 'austin', 'sxsw', 'sure', 'need', 'q', 'austin', 'apple', 'store']",iPad,Positive emotion,Apple,need buy ipad2 austin sxsw sure need q austin apple store,3
"['oh', 'god', 'sxsw', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",iPad or iPhone App,Positive emotion,Apple,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,3
"['okay', 'really', 'yay', 'new', 'user', 'android', 'app11', 'kthxbai', 'sxsw']",Android App,Positive emotion,Google,okay really yay new user android app11 kthxbai sxsw,3
"['photo', 'installed', 'sxsw', 'iphone', 'app', 'really', 'nice']",iPad or iPhone App,Positive emotion,Apple,photo installed sxsw iphone app really nice,3
"['really', 'enjoying', 'change', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'sleeve', 'sxsw']",Android App,Positive emotion,Google,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw,3
"['rt', 'user', 'looking', 'forward', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'hoping', 'win', 'ipad', 'resulting', 'shameless', 'promotion', 'chevysmc']",iPad,Positive emotion,Apple,rt user looking forward smcdallas pre sxsw party wed hoping win ipad resulting shameless promotion chevysmc,3
"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw', 'via', 'user']",iPad or iPhone App,Positive emotion,Apple,rt haha awesomely rad ipad app user hollergram sxsw via user,3
"['someone', 'started', 'austin', 'user', 'group', 'google', 'group', 'presxsw', 'great', 'idea']",Other Google product or service,Positive emotion,,someone started austin user group google group presxsw great idea,3
"['new', '4sq3', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight', 'sxsw', 'keepaustinweird']",iPad or iPhone App,Positive emotion,Apple,new 4sq3 look like going rock update iphone android push tonight sxsw keepaustinweird,3
"['right', 'user', '3', 'app', 'android', 'sweet', 'nice', 'job', 'team', 'sxsw']",Android App,Positive emotion,Google,right user 3 app android sweet nice job team sxsw,3
"['smart', 'user', 'hollergram', 'ipad', 'app', 'sxsw', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,Positive emotion,Apple,smart user hollergram ipad app sxsw may leave vuvuzela home,3
"['must', 'app', 'ipad', 'going', 'sxsw', 'hollergram']",iPad or iPhone App,Positive emotion,Apple,must app ipad going sxsw hollergram,3
"['attn', 'sxsw', 'frineds', 'user', 'register', 'gdgtlive', 'see', 'cobra', 'iradar', 'android', 'link']",none,No emotion toward brand or product,none,attn sxsw frineds user register gdgtlive see cobra iradar android link,2
"['anyone', 'sxsw', 'want', 'sell', 'old', 'ipad']",none,No emotion toward brand or product,none,anyone sxsw want sell old ipad,2
"['anyone', 'sxsw', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",none,No emotion toward brand or product,none,anyone sxsw bought new ipad want sell older ipad,2
"['sxsw', 'ooh', 'rt', 'user', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",none,No emotion toward brand or product,none,sxsw ooh rt user google launch major new social network called circle possibly today link,2
"['best', 'rt', 'user', 'ha', 'first', 'line', 'ipad2', 'sxsw', 'quotpopupquot', 'apple', 'store', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",iPad,Positive emotion,Apple,best rt user ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,3
"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'user', 'amp', 'spincom', 'link', 'itunes', 'sxsw', 'user']",none,No emotion toward brand or product,none,spin play new concept music discovery ipad user amp spincom link itunes sxsw user,2
"['user', 'false', 'alarm', 'google', 'circle', 'coming', 'now\x89ûòand', 'probably', 'ever', 'link', 'google', 'circle', 'social', 'sxsw']",Google,Negative emotion,Google,user false alarm google circle coming nowûòand probably ever link google circle social sxsw,1
"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve', 'link', 'sxsw']",none,No emotion toward brand or product,none,vatornews google apple force print medium evolve link sxsw,2
"['user', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Apple,Positive emotion,Apple,user great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,3
"['hootsuite', 'hootsuite', 'mobile', 'sxsw', 'update', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'you\x89ûªre', 'getting', 'friend', 'link']",none,No emotion toward brand or product,none,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youûªre getting friend link,2
"['hey', 'sxsw', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'user', 'using', 'zazzlesxsw', 'we\x89ûªll', 'make', 'one']",none,No emotion toward brand or product,none,hey sxsw long think take u make iphone case answer user using zazzlesxsw weûªll make one,2
"['mashable', 'ipad', '2', 'take', 'sxsw', 'video', 'ipad', 'sxsw', 'gadget', 'link']",none,No emotion toward brand or product,none,mashable ipad 2 take sxsw video ipad sxsw gadget link,2
"['ipad', 'rt', 'user', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'link']",none,No emotion toward brand or product,none,ipad rt user new ubersocial iphone app store includes uberguide sxsw sponsored link,2
"['ipad2', '\x89û÷smartcover\x89ûª', 'open', 'instant', 'access', 'waited', 'get', 'one', 'link', 'apple', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,ipad2 û÷smartcoverûª open instant access waited get one link apple sxsw,3
"['handheld', '\x89û÷hobo\x89ûª', 'drafthouse', 'launch', '\x89û÷hobo', 'shotgun\x89ûª', 'iphone', 'app', 'sxsw', 'link']",none,Positive emotion,none,handheld û÷hoboûª drafthouse launch û÷hobo shotgunûª iphone app sxsw link,3
"['hooray', 'rt', '\x89ûïuser', 'apple', 'opening', 'popup', 'store', 'austin', 'sxsw', 'user', 'link']",Apple,Positive emotion,Apple,hooray rt ûïuser apple opening popup store austin sxsw user link,3
"['orly', '\x89ûïuser', 'google', 'set', 'launch', 'new', 'social', 'network', 'circle', 'today', 'sxsw\x89û\x9d']",none,No emotion toward brand or product,none,orly ûïuser google set launch new social network circle today sxswû,2
"['woo', '\x89ûïuser', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw\x89û\x9d']",Apple,Positive emotion,Apple,woo ûïuser apple store downtown austin open til midnight sxswû,3
"['khoi', 'vinh', 'user', 'say', 'conde', 'nast', 'headlong', 'rush', 'ipad', 'publishing', 'quotfundamental', 'misunderstandingquot', 'platform', 'sxsw']",none,No emotion toward brand or product,none,khoi vinh user say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,2
"['\x89ûïuser', 'link', 'lt', 'help', 'forward', 'doc', 'anonymous', 'account', 'techiesamp', 'people', 'help', 'u', 'jam', 'libya', 'sxsw']",none,No emotion toward brand or product,none,ûïuser link lt help forward doc anonymous account techiesamp people help u jam libya sxsw,2
"['\x89÷¼', '\x89÷', 'link', '\x89ã', 'edchat', 'musedchat', 'sxsw', 'sxswi', 'classical', 'newtwitter']",none,No emotion toward brand or product,none,÷¼ ÷ link ã edchat musedchat sxsw sxswi classical newtwitter,2
"['user', 'user', 'locationbased', 'fast', 'fun', 'future', 'link', 'via', 'user', 'sxsw']",none,No emotion toward brand or product,none,user user locationbased fast fun future link via user sxsw,2
"['\x89ûïuser', 'user', 'google', 'connect', 'digital', 'amp', 'physical', 'world', 'mobile', 'link', 'sxsw\x89û\x9d', 'user']",none,No emotion toward brand or product,none,ûïuser user google connect digital amp physical world mobile link sxswû user,2
"['\x89ûïuser', 'user', 'talking', 'link', 'google', 'effort', 'allow', 'user', 'open', 'system', 'bettercloud', 'sxsw\x89û\x9d']",Google,Positive emotion,Google,ûïuser user talking link google effort allow user open system bettercloud sxswû,3
