tweet_text,recipient,emotion,brand,lemmatized_review,emotion_code
"['user', '3g', 'iphone', '3', 'hr', 'tweeting', 'riseaustin', 'dead', 'need', 'upgrade', 'plugin', 'station', 'sxsw']",iPhone,Negative emotion,Apple,user 3g iphone 3 hr tweeting riseaustin dead need upgrade plugin station sxsw,1
"['user', 'know', 'user', 'awesome', 'ipadiphone', 'app', 'likely', 'appreciate', 'design', 'also', 'giving', 'free', 't', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,user know user awesome ipadiphone app likely appreciate design also giving free t sxsw,3
"['user', 'wait', 'ipad', '2', 'also', 'sale', 'sxsw']",iPad,Positive emotion,Apple,user wait ipad 2 also sale sxsw,3
"['user', 'hope', 'year', 'festival', 'crashy', 'year', 'iphone', 'app', 'sxsw']",iPad or iPhone App,Negative emotion,Apple,user hope year festival crashy year iphone app sxsw,1
"['user', 'great', 'stuff', 'fri', 'sxsw', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive emotion,Google,user great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,3
"['sxsw', 'starting', 'ctia', 'around', 'corner', 'googleio', 'hop', 'skip', 'jump', 'good', 'time', 'android', 'fan']",Android,Positive emotion,Google,sxsw starting ctia around corner googleio hop skip jump good time android fan,3
"['beautifully', 'smart', 'simple', 'idea', 'rt', 'user', 'user', 'wrote', 'hollergram', 'ipad', 'app', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,beautifully smart simple idea rt user user wrote hollergram ipad app sxsw,3
"['counting', 'day', 'sxsw', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",Apple,Positive emotion,Apple,counting day sxsw plus strong canadian dollar mean stock apple gear,3
"['excited', 'meet', 'user', 'sxsw', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', '21', 'fail']",Android,Positive emotion,Google,excited meet user sxsw show sprint galaxy still running android 21 fail,3
"['find', 'amp', 'start', 'impromptu', 'party', 'sxsw', 'user', 'wait', 'til', 'android', 'app', 'come']",Android App,Positive emotion,Google,find amp start impromptu party sxsw user wait til android app come,3
"['foursquare', 'ups', 'game', 'time', 'sxsw', 'still', 'prefer', 'user', 'far', 'best', 'looking', 'android', 'app', 'date']",Android App,Positive emotion,Google,foursquare ups game time sxsw still prefer user far best looking android app date,3
"['got', 'love', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'user', 'via', 'user', 'gt']",Other Google product or service,Positive emotion,,got love sxsw google calendar featuring top party show case check rt user via user gt,3
"['great', 'sxsw', 'ipad', 'app', 'user']",iPad or iPhone App,Positive emotion,Apple,great sxsw ipad app user,3
"['haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,haha awesomely rad ipad app user hollergram sxsw,3
"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",iPhone,Negative emotion,Apple,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,1
"['added', 'sxsw', 'flight', 'user', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'user', 'iphone', 'app', 'nicely', 'done']",iPad or iPhone App,Positive emotion,Apple,added sxsw flight user matching people planesairports also downloaded user iphone app nicely done,3
"['must', 'sxsw', 'app', 'rt', 'user', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",iPad or iPhone App,Positive emotion,Apple,must sxsw app rt user lovely review forbes sxsw ipad app holler gram,3
"['need', 'buy', 'ipad2', 'austin', 'sxsw', 'sure', 'need', 'q', 'austin', 'apple', 'store']",iPad,Positive emotion,Apple,need buy ipad2 austin sxsw sure need q austin apple store,3
"['oh', 'god', 'sxsw', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",iPad or iPhone App,Positive emotion,Apple,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,3
"['okay', 'really', 'yay', 'new', 'user', 'android', 'app11', 'kthxbai', 'sxsw']",Android App,Positive emotion,Google,okay really yay new user android app11 kthxbai sxsw,3
"['photo', 'installed', 'sxsw', 'iphone', 'app', 'really', 'nice']",iPad or iPhone App,Positive emotion,Apple,photo installed sxsw iphone app really nice,3
"['really', 'enjoying', 'change', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'sleeve', 'sxsw']",Android App,Positive emotion,Google,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw,3
"['rt', 'user', 'looking', 'forward', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'hoping', 'win', 'ipad', 'resulting', 'shameless', 'promotion', 'chevysmc']",iPad,Positive emotion,Apple,rt user looking forward smcdallas pre sxsw party wed hoping win ipad resulting shameless promotion chevysmc,3
"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw', 'via', 'user']",iPad or iPhone App,Positive emotion,Apple,rt haha awesomely rad ipad app user hollergram sxsw via user,3
"['someone', 'started', 'austin', 'user', 'group', 'google', 'group', 'presxsw', 'great', 'idea']",Other Google product or service,Positive emotion,,someone started austin user group google group presxsw great idea,3
"['new', '4sq3', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight', 'sxsw', 'keepaustinweird']",iPad or iPhone App,Positive emotion,Apple,new 4sq3 look like going rock update iphone android push tonight sxsw keepaustinweird,3
"['right', 'user', '3', 'app', 'android', 'sweet', 'nice', 'job', 'team', 'sxsw']",Android App,Positive emotion,Google,right user 3 app android sweet nice job team sxsw,3
"['smart', 'user', 'hollergram', 'ipad', 'app', 'sxsw', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,Positive emotion,Apple,smart user hollergram ipad app sxsw may leave vuvuzela home,3
"['must', 'app', 'ipad', 'going', 'sxsw', 'hollergram']",iPad or iPhone App,Positive emotion,Apple,must app ipad going sxsw hollergram,3
"['best', 'rt', 'user', 'ha', 'first', 'line', 'ipad2', 'sxsw', 'quotpopupquot', 'apple', 'store', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",iPad,Positive emotion,Apple,best rt user ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,3
"['user', 'false', 'alarm', 'google', 'circle', 'coming', 'now\x89ûòand', 'probably', 'ever', 'link', 'google', 'circle', 'social', 'sxsw']",Google,Negative emotion,Google,user false alarm google circle coming nowûòand probably ever link google circle social sxsw,1
"['user', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Apple,Positive emotion,Apple,user great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,3
"['ipad2', '\x89û÷smartcover\x89ûª', 'open', 'instant', 'access', 'waited', 'get', 'one', 'link', 'apple', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,ipad2 û÷smartcoverûª open instant access waited get one link apple sxsw,3
"['handheld', '\x89û÷hobo\x89ûª', 'drafthouse', 'launch', '\x89û÷hobo', 'shotgun\x89ûª', 'iphone', 'app', 'sxsw', 'link']",none,Positive emotion,none,handheld û÷hoboûª drafthouse launch û÷hobo shotgunûª iphone app sxsw link,3
"['hooray', 'rt', '\x89ûïuser', 'apple', 'opening', 'popup', 'store', 'austin', 'sxsw', 'user', 'link']",Apple,Positive emotion,Apple,hooray rt ûïuser apple opening popup store austin sxsw user link,3
"['woo', '\x89ûïuser', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw\x89û\x9d']",Apple,Positive emotion,Apple,woo ûïuser apple store downtown austin open til midnight sxswû,3
"['\x89ûïuser', 'user', 'talking', 'link', 'google', 'effort', 'allow', 'user', 'open', 'system', 'bettercloud', 'sxsw\x89û\x9d']",Google,Positive emotion,Google,ûïuser user talking link google effort allow user open system bettercloud sxswû,3
"['link', 'rt', 'user', '1st', 'stop', 'sxsw', 'chaos', 'amp', 'user', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",iPad,Positive emotion,Apple,link rt user 1st stop sxsw chaos amp user hunt austin java get spy game 4 chance 2 win ipad,3
"['omfg', 'rt', 'user', 'heard', 'apple', 'popup', 'store', 'downtown', 'austin', 'pic', 'already', 'gowalla', 'link', 'sxsw', 'ipad2']",Apple,Positive emotion,Apple,omfg rt user heard apple popup store downtown austin pic already gowalla link sxsw ipad2,3
"['rt', 'user', 'line', 'apple', 'store', 'insane', 'sxsw']",none,Negative emotion,none,rt user line apple store insane sxsw,1
"['attending', 'user', 'ipad', 'design', 'headache', 'sxsw', 'link']",iPad,Negative emotion,Apple,attending user ipad design headache sxsw link,1
"['boo', 'rt', 'user', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say', 'user', 'sxsw']",none,Negative emotion,none,boo rt user flipboard developing iphone version android say user sxsw,1
"['check', 'user', 'user', 'amp', 'user', 'line', 'ipad', '2', 'austin', 'power', 'sxswi', 'sxsw', 'link']",iPad,Positive emotion,Apple,check user user amp user line ipad 2 austin power sxswi sxsw link,3
"['rt', 'user', 'come', 'party', 'w', 'google', 'tonight', 'sxsw', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",Google,Positive emotion,Google,rt user come party w google tonight sxsw link band food art ice cream nifty interactive map,3
"['holla', 'rt', 'user', 'google', 'party', 'best', 'ever', 'get', 'butt', 'sxsw']",Google,Positive emotion,Google,holla rt user google party best ever get butt sxsw,3
"['love', 'user', 'iphone', 'case', 'sxsw', 'get', 'phone', 'fail']",iPhone,Positive emotion,Apple,love user iphone case sxsw get phone fail,3
"['new', 'post', 'user', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet', 'link', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,new post user iphone app make easy connect social network people meet link sxsw,3
"['nice', 'user', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous', 'sxsw']",iPad or iPhone App,Positive emotion,Apple,nice user iphone app behaving today crash yesterday ridiculous sxsw,3
"['nice', 'rt', 'user', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'slated', 'popup', 'sxsw', 'apple', 'store', 'tomorrow', 'link']",Apple,Positive emotion,Apple,nice rt user hey apple fan get peek space slated popup sxsw apple store tomorrow link,3
"['one', 'thing', 'user', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love', 'sxsw', 'sxwsi']",Google,Positive emotion,Google,one thing user great get great earth face google company love sxsw sxwsi,3
"['thanks', 'user', 'mention', 'new', 'speech', 'ipad', 'apps', 'showcased', 'sxsw', 'conf', 'link', 'sxswh', 'sxsh']",iPad or iPhone App,Positive emotion,Apple,thanks user mention new speech ipad apps showcased sxsw conf link sxswh sxsh,3
"['user', 'sxsw', 'provide', 'iphone', 'charger', 'changed', 'mind', 'going', 'next', 'year']",iPhone,Negative emotion,Apple,user sxsw provide iphone charger changed mind going next year,1
"['xmas', 'rt', 'user', 'shiny', 'new', 'user', 'user', 'user', 'apps', 'new', 'user', 'book', 'popup', 'ipad', '2', 'store', 'sxsw', 'christmas', 'nerd']",iPad,Positive emotion,Apple,xmas rt user shiny new user user user apps new user book popup ipad 2 store sxsw christmas nerd,3
"['yai', 'rt', 'user', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'cont', 'link']",iPhone,Positive emotion,Apple,yai rt user new ubersocial iphone app store includes uberguide sxsw sponsored cont link,3
"['fast', 'fun', 'amp', 'future', 'user', 'google', 'presenting', 'sxsw', 'search', 'local', 'mobile']",Google,Positive emotion,Google,fast fun amp future user google presenting sxsw search local mobile,3
"['headline', 'quotipad', '2', 'musthave', 'gadget', 'sxswquot', 'hmm', 'could', 'seen', 'one', 'coming', 'link', 'gadget']",iPad,Positive emotion,Apple,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget,3
